Date, close, Volume, Open, High, Low
01/29/2021, $131.96, 177523800, $135.83, $136.74, $130.21
01/28/2021, $137.09, 142621100, $139.52, $141.99, $136.7
01/27/2021, $142.06, 140843800, $143.43, $144.3, $140.41
01/26/2021, $143.16, 98390560, $143.6, $144.3, $141.37
01/25/2021, $142.92, 157611700, $143.07, $145.09, $136.54
01/22/2021, $139.07, 114459400, $136.28, $139.85, $135.02
01/21/2021, $136.87, 120529500, $133.8, $139.67, $133.59
01/20/2021, $132.03, 104319500, $128.66, $132.49, $128.55
01/19/2021, $127.83, 90757330, $127.78, $128.71, $126.938
01/15/2021, $127.14, 111598500, $128.78, $130.2242, $127
01/14/2021, $128.91, 90221760, $130.8, $131, $128.76
01/13/2021, $130.89, 88636830, $128.76, $131.45, $128.49
01/12/2021, $128.8, 91951150, $128.5, $129.69, $126.86
01/11/2021, $128.98, 100620900, $129.19, $130.17, $128.5
01/08/2021, $132.05, 105158200, $132.43, $132.63, $130.23
01/07/2021, $130.92, 109578200, $128.36, $131.63, $127.86
01/06/2021, $126.6, 155088000, $127.72, $131.0499, $126.382
01/05/2021, $131.01, 97664900, $128.89, $131.74, $128.43
01/04/2021, $129.41, 143301900, $133.52, $133.6116, $126.76
12/31/2020, $132.69, 99116590, $134.08, $134.74, $131.72
